source_title,chunk_id,page,section,ingredient,ingredient_id,matched_text,scope_verified,linkage_type
Retinol and Retinyl Palmitate,cir_attachment:78339067-953f-de05-9d46-508a63ceca4c:40:Conclusion:0,40,Conclusion,Retinol,8f45539c-d042-45f6-acb1-2a654e954a76,retinol,True,NEW_DOCUMENT
Retinol and Retinyl Palmitate,cir_attachment:78339067-953f-de05-9d46-508a63ceca4c:40:Discussion:1,40,Discussion,Retinol,8f45539c-d042-45f6-acb1-2a654e954a76,retinol,True,NEW_DOCUMENT
"Final Report of the Safety Assessment of L-Ascorbic Acid, Calcium Ascorbate, Magnesium Ascorbate, Magnesium Ascorbyl Phosphate, Sodium Ascorbate, and Sodium Ascorbyl Phosphate as Used in Cosmetics",cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6:44:CLINICAL ASSESSMENT OF SAFETY:0,44,CLINICAL ASSESSMENT OF SAFETY,Ascorbic Acid,bf432576-e990-4b02-ac67-9d414af42d76,L-Ascorbic Acid,True,NEW_DOCUMENT
"Final Report of the Safety Assessment of L-Ascorbic Acid, Calcium Ascorbate, Magnesium Ascorbate, Magnesium Ascorbyl Phosphate, Sodium Ascorbate, and Sodium Ascorbyl Phosphate as Used in Cosmetics",cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6:45:CLINICAL ASSESSMENT OF SAFETY:1,45,CLINICAL ASSESSMENT OF SAFETY,Ascorbic Acid,bf432576-e990-4b02-ac67-9d414af42d76,L-Ascorbic Acid,True,NEW_DOCUMENT
"Final Report of the Safety Assessment of L-Ascorbic Acid, Calcium Ascorbate, Magnesium Ascorbate, Magnesium Ascorbyl Phosphate, Sodium Ascorbate, and Sodium Ascorbyl Phosphate as Used in Cosmetics",cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6:45:CLINICAL ASSESSMENT OF SAFETY:2,45,CLINICAL ASSESSMENT OF SAFETY,Ascorbic Acid,bf432576-e990-4b02-ac67-9d414af42d76,Ascorbic Acid,True,NEW_DOCUMENT
"Final Report of the Safety Assessment of L-Ascorbic Acid, Calcium Ascorbate, Magnesium Ascorbate, Magnesium Ascorbyl Phosphate, Sodium Ascorbate, and Sodium Ascorbyl Phosphate as Used in Cosmetics",cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6:45:CLINICAL ASSESSMENT OF SAFETY:3,45,CLINICAL ASSESSMENT OF SAFETY,Ascorbic Acid,bf432576-e990-4b02-ac67-9d414af42d76,Ascorbic Acid,True,NEW_DOCUMENT
"Final Report of the Safety Assessment of L-Ascorbic Acid, Calcium Ascorbate, Magnesium Ascorbate, Magnesium Ascorbyl Phosphate, Sodium Ascorbate, and Sodium Ascorbyl Phosphate as Used in Cosmetics",cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6:46:CLINICAL ASSESSMENT OF SAFETY:4,46,CLINICAL ASSESSMENT OF SAFETY,Ascorbic Acid,bf432576-e990-4b02-ac67-9d414af42d76,Ascorbic Acid,True,NEW_DOCUMENT
"Final Report of the Safety Assessment of L-Ascorbic Acid, Calcium Ascorbate, Magnesium Ascorbate, Magnesium Ascorbyl Phosphate, Sodium Ascorbate, and Sodium Ascorbyl Phosphate as Used in Cosmetics",cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6:46:CLINICAL ASSESSMENT OF SAFETY:5,46,CLINICAL ASSESSMENT OF SAFETY,Ascorbic Acid,bf432576-e990-4b02-ac67-9d414af42d76,L-Ascorbic Acid,True,NEW_DOCUMENT
"Final Report of the Safety Assessment of L-Ascorbic Acid, Calcium Ascorbate, Magnesium Ascorbate, Magnesium Ascorbyl Phosphate, Sodium Ascorbate, and Sodium Ascorbyl Phosphate as Used in Cosmetics",cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6:47:CLINICAL ASSESSMENT OF SAFETY:6,47,CLINICAL ASSESSMENT OF SAFETY,Ascorbic Acid,bf432576-e990-4b02-ac67-9d414af42d76,Ascorbic Acid,True,NEW_DOCUMENT
"Final Report of the Safety Assessment of L-Ascorbic Acid, Calcium Ascorbate, Magnesium Ascorbate, Magnesium Ascorbyl Phosphate, Sodium Ascorbate, and Sodium Ascorbyl Phosphate as Used in Cosmetics",cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6:47:CLINICAL ASSESSMENT OF SAFETY:7,47,CLINICAL ASSESSMENT OF SAFETY,Ascorbic Acid,bf432576-e990-4b02-ac67-9d414af42d76,Ascorbic Acid,True,NEW_DOCUMENT
"Final Report of the Safety Assessment of L-Ascorbic Acid, Calcium Ascorbate, Magnesium Ascorbate, Magnesium Ascorbyl Phosphate, Sodium Ascorbate, and Sodium Ascorbyl Phosphate as Used in Cosmetics",cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6:48:CLINICAL ASSESSMENT OF SAFETY:8,48,CLINICAL ASSESSMENT OF SAFETY,Ascorbic Acid,bf432576-e990-4b02-ac67-9d414af42d76,L-Ascorbic Acid,True,NEW_DOCUMENT
"Final Report of the Safety Assessment of L-Ascorbic Acid, Calcium Ascorbate, Magnesium Ascorbate, Magnesium Ascorbyl Phosphate, Sodium Ascorbate, and Sodium Ascorbyl Phosphate as Used in Cosmetics",cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6:48:CLINICAL ASSESSMENT OF SAFETY:9,48,CLINICAL ASSESSMENT OF SAFETY,Ascorbic Acid,bf432576-e990-4b02-ac67-9d414af42d76,Ascorbic Acid,True,NEW_DOCUMENT
"Final Report of the Safety Assessment of L-Ascorbic Acid, Calcium Ascorbate, Magnesium Ascorbate, Magnesium Ascorbyl Phosphate, Sodium Ascorbate, and Sodium Ascorbyl Phosphate as Used in Cosmetics",cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6:49:CLINICAL ASSESSMENT OF SAFETY:10,49,CLINICAL ASSESSMENT OF SAFETY,Ascorbic Acid,bf432576-e990-4b02-ac67-9d414af42d76,Ascorbic Acid,True,NEW_DOCUMENT
"Final Report of the Safety Assessment of L-Ascorbic Acid, Calcium Ascorbate, Magnesium Ascorbate, Magnesium Ascorbyl Phosphate, Sodium Ascorbate, and Sodium Ascorbyl Phosphate as Used in Cosmetics",cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6:49:CLINICAL ASSESSMENT OF SAFETY:11,49,CLINICAL ASSESSMENT OF SAFETY,Ascorbic Acid,bf432576-e990-4b02-ac67-9d414af42d76,Ascorbic Acid,True,NEW_DOCUMENT
"Final Report of the Safety Assessment of L-Ascorbic Acid, Calcium Ascorbate, Magnesium Ascorbate, Magnesium Ascorbyl Phosphate, Sodium Ascorbate, and Sodium Ascorbyl Phosphate as Used in Cosmetics",cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6:50:CLINICAL ASSESSMENT OF SAFETY:12,50,CLINICAL ASSESSMENT OF SAFETY,Ascorbic Acid,bf432576-e990-4b02-ac67-9d414af42d76,Ascorbic Acid,True,NEW_DOCUMENT
"Final Report of the Safety Assessment of L-Ascorbic Acid, Calcium Ascorbate, Magnesium Ascorbate, Magnesium Ascorbyl Phosphate, Sodium Ascorbate, and Sodium Ascorbyl Phosphate as Used in Cosmetics",cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6:50:CLINICAL ASSESSMENT OF SAFETY:13,50,CLINICAL ASSESSMENT OF SAFETY,Ascorbic Acid,bf432576-e990-4b02-ac67-9d414af42d76,Ascorbic Acid,True,NEW_DOCUMENT
"Final Report of the Safety Assessment of L-Ascorbic Acid, Calcium Ascorbate, Magnesium Ascorbate, Magnesium Ascorbyl Phosphate, Sodium Ascorbate, and Sodium Ascorbyl Phosphate as Used in Cosmetics",cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6:51:CLINICAL ASSESSMENT OF SAFETY:14,51,CLINICAL ASSESSMENT OF SAFETY,Ascorbic Acid,bf432576-e990-4b02-ac67-9d414af42d76,L-Ascorbic Acid,True,NEW_DOCUMENT
"Final Report of the Safety Assessment of L-Ascorbic Acid, Calcium Ascorbate, Magnesium Ascorbate, Magnesium Ascorbyl Phosphate, Sodium Ascorbate, and Sodium Ascorbyl Phosphate as Used in Cosmetics",cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6:51:CLINICAL ASSESSMENT OF SAFETY:15,51,CLINICAL ASSESSMENT OF SAFETY,Ascorbic Acid,bf432576-e990-4b02-ac67-9d414af42d76,Ascorbic Acid,True,NEW_DOCUMENT
"Final Report of the Safety Assessment of L-Ascorbic Acid, Calcium Ascorbate, Magnesium Ascorbate, Magnesium Ascorbyl Phosphate, Sodium Ascorbate, and Sodium Ascorbyl Phosphate as Used in Cosmetics",cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6:52:CLINICAL ASSESSMENT OF SAFETY:16,52,CLINICAL ASSESSMENT OF SAFETY,Ascorbic Acid,bf432576-e990-4b02-ac67-9d414af42d76,Ascorbic Acid,True,NEW_DOCUMENT
