source_type,document_source_id,source_title,chunk_id,page,section,ingredient_id,ingredient_name,matched_text,scope_verified,linkage_type
pubmed_abstract,PMID:10021493,In vivo human skin permeability enhancement by oleic acid: a laser Doppler velocimetry study.,PMID:10021493:abstract:0,,abstract,578433aa-82cf-4857-ad6b-d6196300a219,Oleic Acid,,True,NEW_DOCUMENT
pubmed_abstract,PMID:10522500,Use of topical ascorbic acid and its effects on photodamaged skin topography.,PMID:10522500:abstract:0,,abstract,bf432576-e990-4b02-ac67-9d414af42d76,Ascorbic Acid,,True,NEW_DOCUMENT
pubmed_abstract,PMID:10965426,Effect of topically applied dexpanthenol on epidermal barrier function and stratum corneum hydration. Results of a human in vivo study.,PMID:10965426:abstract:0,,abstract,71c52574-f2b2-4fb2-a738-8bf0bc4cd7c5,Dexpanthenol,,True,NEW_DOCUMENT
pubmed_abstract,PMID:12190621,Effect of a lipid-rich emollient containing ceramide 3 in experimentally induced skin barrier dysfunction.,PMID:12190621:abstract:0,,abstract,c78dfd19-39f6-4b68-aac9-c59051713807,Ceramide NP,,True,NEW_DOCUMENT
pubmed_abstract,PMID:12562345,Clinical trial of bleaching treatment with 10% all-trans retinol gel.,PMID:12562345:abstract:0,,abstract,8f45539c-d042-45f6-acb1-2a654e954a76,Retinol,,True,NEW_DOCUMENT
pubmed_abstract,PMID:12823436,"Topical ascorbic acid on photoaged skin. Clinical, topographical and ultrastructural evaluation: double-blind study vs. placebo.",PMID:12823436:abstract:0,,abstract,bf432576-e990-4b02-ac67-9d414af42d76,Ascorbic Acid,,True,NEW_DOCUMENT
pubmed_abstract,PMID:1303072,A comparative study of gluconolactone versus benzoyl peroxide in the treatment of acne.,PMID:1303072:abstract:0,,abstract,435c3a54-86e4-4934-a706-e42dbb0f684a,Gluconolactone,,True,NEW_DOCUMENT
pubmed_abstract,PMID:14641355,"Efficacy of dexpanthenol in skin protection against irritation: a double-blind, placebo-controlled study.",PMID:14641355:abstract:0,,abstract,71c52574-f2b2-4fb2-a738-8bf0bc4cd7c5,Dexpanthenol,,True,NEW_DOCUMENT
pubmed_abstract,PMID:15022655,"Topical application of natural honey, beeswax and olive oil mixture for atopic dermatitis or psoriasis: partially controlled, single-blinded study.",PMID:15022655:abstract:0,,abstract,a1100045-b0da-49ce-8d66-42195f0d3b2f,Beeswax,,True,NEW_DOCUMENT
pubmed_abstract,PMID:15304189,A double-blind randomized trial of 5% ascorbic acid vs. 4% hydroquinone in melasma.,PMID:15304189:abstract:0,,abstract,bf432576-e990-4b02-ac67-9d414af42d76,Ascorbic Acid,,True,NEW_DOCUMENT
pubmed_abstract,PMID:15689218,"Bathing in a magnesium-rich Dead Sea salt solution improves skin barrier function, enhances skin hydration, and reduces inflammation in atopic dry skin.",PMID:15689218:abstract:0,,abstract,30922d12-a004-48c3-89a0-05beb2df6292,Sea Salt,,True,NEW_DOCUMENT
pubmed_abstract,PMID:16029679,Niacinamide: A B vitamin that improves aging facial skin appearance.,PMID:16029679:abstract:0,,abstract,93bd6d73-d9f2-460b-9b0e-1d99b0e7dbe4,Niacinamide,,True,NEW_DOCUMENT
pubmed_abstract,PMID:16766489,The effect of 2% niacinamide on facial sebum production.,PMID:16766489:abstract:0,,abstract,93bd6d73-d9f2-460b-9b0e-1d99b0e7dbe4,Niacinamide,,True,NEW_DOCUMENT
pubmed_abstract,PMID:17348991,Reduction in the appearance of facial hyperpigmentation by topical N-acetyl glucosamine.,PMID:17348991:abstract:0,,abstract,536a5712-cc8e-4a31-88b0-dff09d42124e,Acetyl Glucosamine,,True,NEW_DOCUMENT
pubmed_abstract,PMID:17515510,Improvement of naturally aged skin with vitamin A (retinol).,PMID:17515510:abstract:0,,abstract,8f45539c-d042-45f6-acb1-2a654e954a76,Retinol,,True,NEW_DOCUMENT
