chunk_id,source_type,document_source_id,action,model,dimension,content_hash,vector_sha256,vector_l2_norm
PMID:10021493:abstract:0,pubmed_abstract,PMID:10021493,INSERT,BAAI/bge-m3,1024,97c0001f953528e90788404a2eec5d864c8f63b91010d4eea6a2eb1375e0a486,36229ae28a062f6df2b90f9dbea88965aa9d207c50eef154b6aa09f958e4daa7,1.0
PMID:10522500:abstract:0,pubmed_abstract,PMID:10522500,INSERT,BAAI/bge-m3,1024,c7b862d3f0fb145aaea84919549681ab4b6c4bd9146d8116d7739cca404cbaed,776e4bacbb5d1efb5ebd7ebe1975c7bd94cff84052297ef18d47951775d70183,1.0
PMID:10965426:abstract:0,pubmed_abstract,PMID:10965426,INSERT,BAAI/bge-m3,1024,a17029fe9eec7c14af7318d0858bc1392c5d371e56f6a4f9586ef01ac3b16323,cec776c5459843496cd2578e9ee2bddca6547e8d9c1f94c8e5cc6845b374c930,1.0
PMID:12562345:abstract:0,pubmed_abstract,PMID:12562345,INSERT,BAAI/bge-m3,1024,d61f85882a616c9750d36dcc350f01955d2ce58394a63a969c7759ae35d5296d,a52365f14458e88629ec588e5bff67b676e5df6d83f3b7a5ad6e049b1f021068,1.0
PMID:12823436:abstract:0,pubmed_abstract,PMID:12823436,INSERT,BAAI/bge-m3,1024,f58c2c4f54723d4a45f7bcf34e052a19664e96a5da1b69e54f6aff46715e7c4e,78ecfe0a6b68c940387e17c49a017cc15f6fa51020bc2b4eb87ccf5f5172a3af,1.0
PMID:1303072:abstract:0,pubmed_abstract,PMID:1303072,INSERT,BAAI/bge-m3,1024,0e4b0ca15ab8f9c8332c1ff319893fdc0899f5aa5c00e39afa0a3366d313a92b,057a92352de4134cbe3325e733531dfc6e49116e29c2fdf3dbb1c0fe3aadfe1b,1.0
PMID:14641355:abstract:0,pubmed_abstract,PMID:14641355,INSERT,BAAI/bge-m3,1024,0dce4ae30c556a5ce7d50aa33daece1b6d892259db3491cdd8fb341314f0accc,82d1d182fdc2151f7656b0da428580d325ec7247dc56e085cffd209e057e720b,1.0
PMID:15022655:abstract:0,pubmed_abstract,PMID:15022655,INSERT,BAAI/bge-m3,1024,fe2ba12a22e3d76dc9e03568a9a95b8a8dc9e8432bb35e7bf9b088078af96111,be700d748d88681ef6d5df7422010e65f55eeef3609d4a9b147aea6490ed8d69,1.0
PMID:15304189:abstract:0,pubmed_abstract,PMID:15304189,INSERT,BAAI/bge-m3,1024,9244dc18436b1462a8db787e84120b45aafac28d324b77b1cc3312325e182f2b,4077993bfb3f61f49495d7715e635bc6868618fce6847b46aa8df4f3284d1a6c,1.0
PMID:15689218:abstract:0,pubmed_abstract,PMID:15689218,INSERT,BAAI/bge-m3,1024,9b70986b03e24fef9a0217c46af6d50621a23cca59f68c47bcf7ebf7800f5996,1e17766367424019aff0938ef24634317be53a4acfc664259c2d9de356698634,1.0
